system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCVI,Label,MNDWI,NDBI,NDVI,NDWI,.geo
21_0,343.0,133.0,84.0,389.0,500.0,295.0,230.0,137.0,171.0,161.0,166.0,577.0,0.33992897006595635,-0.6779999999999999,Water,0.57977885,-0.0952381,-0.29385966,0.5128593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.487327720125444,49.35276797306342]}"
22_0,190.5,1184.5,581.5,236.5,326.0,216.5,612.5,2011.0,2374.0,1506.0,2632.0,2528.0,3.12303221118915,3.619631901840491,Water,-0.56835485,-0.11949452,0.74862117,-0.6441048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.141920919099638,50.098100164297385]}"
23_0,251.0,120.0,83.0,354.0,492.0,291.0,266.0,177.0,200.0,179.0,194.0,803.0,0.38408779149519895,-0.6361788617886179,Water,0.60784316,-0.19732441,-0.23829788,0.46646795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.448875251683278,50.43469890125697]}"
24_0,254.0,477.0,292.0,284.0,381.0,328.0,555.0,857.0,959.0,773.0,958.0,1357.0,1.8178104575163399,1.0288713910761156,Water,-0.11188811,-0.2368,0.40417802,-0.33968803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.901266828765869,49.94161364180377]}"
25_0,191.5,94.5,62.5,226.5,313.5,161.0,152.5,111.0,135.5,123.0,121.0,69.0,0.15605749486652976,-0.6076555023923444,Water,0.5367647,-0.13103448,-0.13380282,0.4364261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.45903078867568,49.28692146273746]}"
26_0,164.0,582.0,349.0,122.0,140.0,82.0,253.0,496.0,633.0,474.0,729.0,1435.0,18.846153846153847,2.3857142857142857,Water,-0.61218834,0.10227273,0.705036,-0.5439739,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.37072182196488,49.51985461590965]}"
27_0,280.0,110.0,77.0,191.0,284.0,171.0,146.0,44.0,86.0,85.0,84.0,875.0,0.6708268330733229,-0.7007042253521127,Water,0.44162437,0.12820514,-0.3359375,0.5392954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.445102327489976,50.229703353420895]}"
28_0,349.0,259.5,154.0,268.5,405.0,230.0,283.0,204.5,280.0,307.0,231.0,2077.0,-0.5909439754412894,-0.24197530864197536,Water,0.21896163,-0.08384819,0.1433892,0.13764045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.35599402558717,49.46927946541372]}"
29_0,561.0,1306.0,900.0,592.0,713.5,637.0,979.5,1652.0,1789.5,1181.5,1909.0,2087.5,2.411426040744021,0.6559215136650316,Water,-0.29338944,0.05005025,0.2994226,-0.2469657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.283589813687138,49.99425491745317]}"
30_0,133.0,1064.5,482.5,164.5,249.0,164.5,431.5,1384.5,1735.5,1165.0,1978.0,3042.0,2.7209681805819965,3.6787148594377506,Water,-0.6208603,-0.045077372,0.75253856,-0.64780766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.29804811547961,50.46057038143962]}"
31_0,155.0,686.0,294.0,222.0,389.0,234.0,505.0,1086.0,1296.0,501.0,1395.0,2529.0,2.7697095435684647,0.28791773778920304,Water,-0.27627906,0.1558551,0.3632653,-0.12584269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.821676094592879,50.568997036232844]}"
32_0,178.0,1317.0,619.0,201.0,360.0,233.0,582.0,1910.0,2354.0,2549.0,2639.0,2857.0,2.3724646588813765,6.080555555555556,Water,-0.5706619,-0.31867564,0.8324946,-0.75249225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.514452267424003,49.544468454694524]}"
33_0,102.0,163.0,82.0,138.0,192.0,128.0,101.0,61.0,118.0,181.0,119.0,655.0,-1.5588235294117647,-0.05729166666666663,Water,0.08169014,-0.05232558,0.17152104,0.029490616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.055862314880987,49.907118334893575]}"
34_0,416.0,1182.5,874.5,624.5,795.5,853.5,964.5,1160.0,1315.5,1602.5,1287.0,2411.5,0.9175548205316674,1.014456316781898,Water,-0.19565217,-0.1508079,0.30496743,-0.33653045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.597456599676647,50.39373572430112]}"
35_0,163.0,624.0,283.0,134.0,152.0,113.0,257.0,782.0,1005.0,713.0,1129.0,2199.0,3.8759689922480622,3.6907894736842106,Water,-0.6082474,-0.066566944,0.72639227,-0.6485549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.567178800319968,50.027043425323534]}"
36_0,166.0,99.5,58.0,141.0,122.5,67.0,75.5,87.0,108.0,98.5,105.0,649.5,-0.14163669064748202,-0.1959183673469388,Water,0.1036036,0.005050505,0.19033232,0.108597286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.99199209818009,49.634120320049654]}"
37_0,273.5,162.5,123.5,192.5,229.5,116.0,133.0,170.5,189.0,192.0,187.5,777.0,-0.3424966200991437,-0.1633986928104575,Water,0.17091836,-0.083215795,0.24675325,0.08896797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.391657142366716,49.4954204401816]}"
38_0,263.5,846.5,456.0,277.0,473.0,310.5,581.0,1336.5,1479.5,1662.0,1627.0,1922.0,2.3325854332067655,2.5137420718816066,Water,-0.28306177,-0.32509467,0.6851711,-0.55690867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.280086384079071,49.070068153151006]}"
