system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,EVI_1,GCVI,GCVI_1,Label,MNDWI,MNDWI_1,NDBI,NDBI_1,NDVI,NDVI_1,NDWI,NDWI_1,.geo
153_0,287.5,1879.0,887.0,281.5,592.5,309.5,1063.5,2613.0,2982.5,2953.0,3239.5,3532.5,2.4479118436892304,2.4479118436892304,3.983966244725738,3.983966244725738,Agriculture,-0.5205341,-0.5205341,-0.22226821,-0.22226821,0.8102682,0.8102682,-0.6657735,-0.6657735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.49942869490192,-16.662176468669916]}"
154_0,217.0,1778.0,847.0,307.0,628.0,358.0,1090.0,3143.0,3516.0,3352.0,3832.0,3752.0,2.3401594497420666,2.3401594497420666,4.337579617834395,4.337579617834395,Grassland,-0.47797173,-0.47797173,-0.3068226,-0.3068226,0.8070081,0.8070081,-0.68442214,-0.68442214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.62491876581157,-18.04297689189003]}"
155_0,232.0,1855.5,959.0,368.0,711.5,447.0,1051.5,2803.5,3245.0,3324.0,3472.5,3600.0,2.2151216507545426,2.2151216507545426,3.671820098383696,3.671820098383696,Grassland,-0.44565642,-0.44565642,-0.28352156,-0.28352156,0.7629276,0.7629276,-0.6473795,-0.6473795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.80296485512406,-17.624541632547157]}"
156_0,169.0,1874.5,835.0,267.0,583.0,341.0,866.0,3300.0,4393.0,4994.0,4552.0,4284.5,2.308722834176838,2.308722834176838,7.566037735849056,7.566037735849056,Grassland,-0.5255341,-0.5255341,-0.45417485,-0.45417485,0.87216496,0.87216496,-0.790927,-0.790927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.4626830254996,-17.796569009456046]}"
157_0,138.0,2079.0,1082.0,301.0,536.0,564.0,1087.0,1985.0,2348.0,2424.0,2793.0,2942.0,1.3093059270730678,1.3093059270730678,3.522388059701493,3.522388059701493,Grassland,-0.5900574,-0.5900574,-0.07661559,-0.07661559,0.62249,0.62249,-0.6378378,-0.6378378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.46833783750768,-18.134694882398634]}"
158_0,243.0,1986.0,1003.0,480.0,811.0,763.5,1089.0,2763.5,3369.0,3568.0,3696.5,2554.0,1.5409340659340658,1.5409340659340658,3.399506781750925,3.399506781750925,Grassland,-0.42009297,-0.42009297,-0.28483975,-0.28483975,0.64746624,0.64746624,-0.6295958,-0.6295958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.37805715145367,-17.90580414800498]}"
159_0,106.5,1664.5,743.0,184.5,406.0,246.5,831.0,2160.5,2561.5,2476.0,2845.0,2943.5,2.166877247545923,2.166877247545923,5.098522167487685,5.098522167487685,Grassland,-0.6078242,-0.6078242,-0.19599082,-0.19599082,0.81891644,0.81891644,-0.7182512,-0.7182512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.6974980664866,-17.92934000844891]}"
160_0,179.0,1947.0,1023.0,362.0,641.0,500.0,1173.0,2506.0,3028.0,3272.0,3378.0,3724.0,1.9477234401349073,1.9477234401349073,4.104524180967239,4.104524180967239,Grassland,-0.50463676,-0.50463676,-0.25388005,-0.25388005,0.7348887,0.7348887,-0.6723741,-0.6723741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.94884668298323,-17.43104452034781]}"
161_0,228.5,2224.0,1073.5,362.5,741.0,406.0,1271.5,3070.0,3550.5,3680.0,3937.0,3670.0,2.408592657985728,2.408592657985728,3.9662618083670713,3.9662618083670713,Grassland,-0.5001686,-0.5001686,-0.24661246,-0.24661246,0.80127263,0.80127263,-0.66478175,-0.66478175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.27143170151055,-17.45026846742797]}"
162_0,351.0,1984.0,1037.0,360.0,594.0,505.0,1137.5,2173.5,2510.0,2645.0,2829.5,2582.0,1.797715053763441,1.797715053763441,3.4528619528619533,3.4528619528619533,Grassland,-0.53917766,-0.53917766,-0.14279541,-0.14279541,0.6793651,0.6793651,-0.63322014,-0.63322014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.57892502326465,-16.587706131616407]}"
163_0,269.5,2393.0,1367.5,361.5,615.0,653.5,1158.5,1793.5,2028.5,2210.0,2387.5,2371.0,1.1375429364905356,1.1375429364905356,2.5934959349593494,2.5934959349593494,Grassland,-0.59109044,-0.59109044,0.03975668,0.03975668,0.5435656,0.5435656,-0.5646018,-0.5646018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.82093116080645,-16.66702737120416]}"
164_0,221.5,1797.5,844.5,278.0,578.0,318.0,1128.5,3042.0,3549.0,3332.0,4024.5,3910.5,2.387515842839037,2.387515842839037,4.764705882352941,4.764705882352941,Grassland,-0.5133656,-0.5133656,-0.29915196,-0.29915196,0.82575345,0.82575345,-0.70434785,-0.70434785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.8017072137263,-16.709427852614603]}"
165_0,263.5,2046.0,990.5,355.0,692.0,549.0,1243.5,2682.5,3169.0,3041.0,3528.0,3494.5,1.695930311691847,1.695930311691847,3.3945086705202314,3.3945086705202314,Grassland,-0.49452156,-0.49452156,-0.19559662,-0.19559662,0.6941504,0.6941504,-0.6292526,-0.6292526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.40258115871015,-16.907596204291366]}"
166_0,289.0,1862.0,824.0,286.0,586.0,294.0,1101.0,3327.0,3792.0,3516.0,4064.0,4016.0,2.5685586734693877,2.5685586734693877,5.0,5.0,Grassland,-0.52124184,-0.52124184,-0.30754927,-0.30754927,0.84566927,0.84566927,-0.71428573,-0.71428573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-179.8495021611233,-16.80599674565745]}"
167_0,268.5,2187.5,1032.5,361.5,732.0,446.5,1378.0,2838.0,3416.0,3818.0,3771.0,3769.5,2.225853304284677,2.225853304284677,4.215846994535519,4.215846994535519,Grassland,-0.49854428,-0.49854428,-0.27150112,-0.27150112,0.7905968,0.7905968,-0.6782417,-0.6782417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-178.99080258103345,-17.283271656110152]}"
168_0,217.0,2063.0,1048.0,312.0,560.0,410.0,1017.0,2375.0,2753.0,2868.0,3076.0,3330.0,2.055871528939445,2.055871528939445,4.121428571428571,4.121428571428571,Grassland,-0.573008,-0.573008,-0.16325289,-0.16325289,0.7498475,0.7498475,-0.67327887,-0.67327887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.26433043648416,-17.97021335387635]}"
169_0,195.0,1268.0,574.0,268.0,450.0,330.0,733.0,1965.0,2348.0,2706.0,2691.0,2820.0,2.2189017556966752,2.2189017556966752,5.013333333333334,5.013333333333334,Grassland,-0.47613505,-0.47613505,-0.36185205,-0.36185205,0.7826087,0.7826087,-0.7148289,-0.7148289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.61270167794754,-16.69280901985839]}"
170_0,184.0,1168.0,537.0,259.0,494.5,305.5,675.0,1944.5,2510.0,3095.0,2843.5,2704.0,2.3350912439310227,2.3350912439310227,5.258847320525784,5.258847320525784,Grassland,-0.40511277,-0.40511277,-0.45202908,-0.45202908,0.82032055,0.82032055,-0.72447413,-0.72447413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.77053567336733,-16.637203303771393]}"
171_0,245.0,2412.0,1155.0,388.0,704.0,484.0,1384.0,3168.0,3867.0,3884.0,4427.0,4633.0,2.191286414024233,2.191286414024233,4.517045454545454,4.517045454545454,Grassland,-0.5481386,-0.5481386,-0.23379923,-0.23379923,0.77838826,0.77838826,-0.6931125,-0.6931125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.78158495136202,-16.680142774352305]}"
172_0,193.0,2094.0,898.0,284.0,644.0,210.0,1119.0,4266.0,4865.0,4876.0,5182.0,5123.0,2.9111554779136513,2.9111554779136513,6.571428571428571,6.571428571428571,Shrubland,-0.52958363,-0.52958363,-0.39913917,-0.39913917,0.9174204,0.9174204,-0.76666665,-0.76666665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.4386980074136,-18.961144943788593]}"
173_0,182.5,1718.5,771.0,245.5,556.5,222.5,840.0,2944.5,3372.5,4026.0,3476.0,3094.0,2.7007739828161617,2.7007739828161617,6.234501347708895,6.234501347708895,Shrubland,-0.51076925,-0.51076925,-0.40168858,-0.40168858,0.8952572,0.8952572,-0.7571195,-0.7571195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.52538543233112,-17.86340366659454]}"
174_0,158.0,1852.5,790.5,260.5,601.5,231.0,912.5,3854.0,4900.0,5702.0,5273.5,4734.5,2.663453580643591,2.663453580643591,8.479634247714047,8.479634247714047,Shrubland,-0.50977993,-0.50977993,-0.50956386,-0.50956386,0.92213047,0.92213047,-0.8091536,-0.8091536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.5402076345191,-17.829357517326407]}"
175_0,143.5,1726.5,764.5,258.0,506.5,255.5,930.5,2710.5,3244.0,3268.0,3572.5,2973.5,2.626874782002093,2.626874782002093,5.452122408687068,5.452122408687068,Shrubland,-0.5463502,-0.5463502,-0.3086395,-0.3086395,0.85497373,0.85497373,-0.7316201,-0.7316201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.33934433698997,-17.801689406575527]}"
176_0,254.5,1581.0,703.5,217.5,443.5,219.0,792.0,2793.5,3485.0,3926.0,3788.0,3911.5,2.5673523097167394,2.5673523097167394,7.852311161217587,7.852311161217587,Shrubland,-0.5618671,-0.5618671,-0.4258217,-0.4258217,0.8943305,0.8943305,-0.79700196,-0.79700196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.1191672608523,-18.19667863700288]}"
177_0,66.0,1901.0,910.0,215.0,434.0,264.0,924.0,2755.0,3328.0,3964.0,3718.0,4314.0,2.3498031246030737,2.3498031246030737,8.133640552995391,8.133640552995391,Shrubland,-0.6282655,-0.6282655,-0.35174766,-0.35174766,0.87511826,0.87511826,-0.8026376,-0.8026376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.41857117076748,-18.0442345332878]}"
178_0,220.5,2092.5,1042.0,349.5,734.0,486.5,1252.0,2724.5,3174.5,3408.0,3502.0,3146.5,1.9703918527011532,1.9703918527011532,3.6430517711171664,3.6430517711171664,Shrubland,-0.48062974,-0.48062974,-0.23916008,-0.23916008,0.75016046,0.75016046,-0.64558184,-0.64558184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.5390352503679,-17.79441305277416]}"
179_0,75.0,1279.5,532.0,128.5,368.5,167.5,651.5,2554.5,3181.5,3138.0,3502.5,2753.5,2.3351151639022087,2.3351151639022087,7.5156037991858895,7.5156037991858895,Shrubland,-0.55279124,-0.55279124,-0.42071307,-0.42071307,0.89865375,0.89865375,-0.7898189,-0.7898189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.5253808580493,-17.785070573819315]}"
180_0,101.0,1878.5,858.0,198.0,440.5,325.0,804.0,2734.0,3233.0,2621.0,3605.5,3279.5,1.8594104308390023,1.8594104308390023,4.9500567536889895,4.9500567536889895,Shrubland,-0.6200949,-0.6200949,-0.16501833,-0.16501833,0.77936184,0.77936184,-0.7122326,-0.7122326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.57469836714745,-17.786058720631846]}"
181_0,217.0,1960.0,829.0,332.0,594.0,338.0,1097.0,2856.0,3487.0,2928.0,3604.0,3946.0,2.624645318200243,2.624645318200243,3.929292929292929,3.929292929292929,Shrubland,-0.5348473,-0.5348473,-0.198036,-0.198036,0.793019,0.793019,-0.66269165,-0.66269165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.0521575149388,-16.615464073895698]}"
182_0,322.0,3044.5,1409.5,350.0,726.0,295.0,1343.0,5664.5,6630.5,6382.0,6875.5,5629.5,2.7528039073806077,2.7528039073806077,7.790633608815426,7.790633608815426,Shrubland,-0.6149052,-0.6149052,-0.35405505,-0.35405505,0.91163695,0.91163695,-0.79572314,-0.79572314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.34536762367543,-16.73107725096188]}"
183_0,411.5,1806.0,754.0,335.0,544.0,281.5,932.5,3333.5,4161.5,3882.0,4473.5,4393.5,2.942065697009315,2.942065697009315,6.136029411764706,6.136029411764706,Shrubland,-0.5370213,-0.5370213,-0.3649789,-0.3649789,0.8647772,0.8647772,-0.75417984,-0.75417984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.70379542203912,-16.207988261019086]}"
184_0,372.0,2249.0,1163.0,416.0,646.0,604.0,1225.0,2072.0,2348.0,2214.0,2621.0,2906.0,1.4803236484001472,1.4803236484001472,2.4272445820433437,2.4272445820433437,Shrubland,-0.5537133,-0.5537133,0.007842259,0.007842259,0.5713272,0.5713272,-0.54825175,-0.54825175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.8073711742981,-16.21382731036586]}"
185_0,177.5,1928.0,909.5,276.5,571.5,293.0,1065.0,3284.0,3978.5,4170.0,4231.5,4782.5,2.5141041437001492,2.5141041437001492,6.296587926509186,6.296587926509186,Shrubland,-0.5427085,-0.5427085,-0.36766154,-0.36766154,0.8686982,0.8686982,-0.75893706,-0.75893706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.7590372377306,-16.939845722991258]}"
186_0,187.0,1710.0,784.0,222.0,453.0,248.0,897.0,2501.0,2914.0,3034.0,3248.0,3435.0,2.4370188943317004,2.4370188943317004,5.69757174392936,5.69757174392936,Shrubland,-0.5811373,-0.5811373,-0.27908936,-0.27908936,0.84887266,0.84887266,-0.7401778,-0.7401778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.31149198890043,-18.087892656096006]}"
187_0,194.0,1919.0,840.5,309.5,685.0,311.0,1015.5,3366.5,4154.0,4896.0,4470.5,4528.0,2.5806270051218547,2.5806270051218547,6.1474452554744525,6.1474452554744525,Shrubland,-0.47388634,-0.47388634,-0.43683052,-0.43683052,0.88054544,0.88054544,-0.7545243,-0.7545243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.34194945131392,-17.509377613123036]}"
188_0,211.0,1840.0,817.0,276.0,648.0,337.0,1094.0,2933.0,3535.0,3548.0,3839.0,3750.0,2.2929163096258214,2.2929163096258214,4.4753086419753085,4.4753086419753085,Shrubland,-0.4790997,-0.4790997,-0.31700075,-0.31700075,0.8265122,0.8265122,-0.6911344,-0.6911344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.8498569129551,-16.65741539766408]}"
189_0,217.0,1646.0,805.5,231.0,432.5,283.0,772.5,2233.0,2668.5,2541.0,2977.0,3251.0,2.251246261216351,2.251246261216351,4.8751445086705205,4.8751445086705205,Tree,-0.58383447,-0.58383447,-0.21375686,-0.21375686,0.7995751,0.7995751,-0.709097,-0.709097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.77169890895485,-17.432122498688756]}"
